phase,symbol,period,method,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant,source,scope,invalid_n,news_ratio,days
frozen,AAPL,2018-09,R0,57,0.479064039408867,-0.0530427026157667,0.2527589043991297,0.1270292124913091,0.8070175438596491,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,R1,57,0.6188423645320198,0.2831921951995806,0.2368787886729984,0.0614703674831514,0.7719298245614035,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,R2,57,0.5843596059113301,0.2137308899517661,0.2416943753725629,0.1142415015708366,0.8070175438596491,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,S2,57,0.6533251231527094,0.3481377015694313,0.2327141162473663,0.0826043074898487,0.7368421052631579,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,S3,57,0.7222906403940887,0.4714770836361918,0.2368152772240646,0.2191575326367499,0.6666666666666666,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,title,57,0.4975369458128078,-0.0070898809569352,0.2487512775129087,0.1338430886928683,0.8596491228070176,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,body,57,0.6016009852216749,0.2491776293506327,0.2461162990471983,0.0899099399134261,0.7894736842105263,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,semantic,57,0.5843596059113301,0.2137308899517661,0.2434244635292674,0.1429129333574691,0.8070175438596491,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,llm,57,0.5166256157635468,0.0744437500478197,0.2672557486249485,0.1330206340929224,0.9473684210526316,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,F0,57,0.4975369458128078,-0.0070898809569352,0.2487512775129087,0.1338430886928683,0.8596491228070176,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,F1,57,0.6016009852216749,0.2491776293506327,0.2461162990471983,0.0899099399134261,0.7894736842105263,0.4912280701754385,False,nextgen_fusion,,,,
