symbol,period,news_scope,method,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
AAPL,test,news,R0,178,0.5179360869016041,0.044641892260775445,0.2720273876456652,0.12236799996679021,0.797752808988764,0.4887640449438202,False
AAPL,test,news,R1,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.06731688565471756,0.7191011235955056,0.4887640449438202,False
AAPL,test,news,R2,178,0.511178476695718,0.025713480564759257,0.2718543429593337,0.13943633697766242,0.7471910112359551,0.4887640449438202,False
AAPL,test,news,S2,178,0.49267399267399264,-0.015626907697949846,0.26986263411223743,0.12307357091200233,0.6741573033707865,0.4887640449438202,False
AAPL,test,news,S3,178,0.48042187697360117,-0.040522888280782626,0.2622243283393986,0.10109161915815801,0.6292134831460674,0.4887640449438202,False
AAPL,test,news,llm,178,0.47619047619047616,-0.05151421987021448,0.256483608971017,0.09517295182024144,0.6910112359550562,0.4887640449438202,False
AAPL,test,news,F0,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.12566308001935983,0.8426966292134831,0.4887640449438202,False
AAPL,test,news,F1,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.07632937925834433,0.7752808988764045,0.4887640449438202,False
AAPL,test,news,F2,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.17147535074383832,0.7359550561797753,0.4887640449438202,False
AAPL,test,news,F3,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.07632937925834433,0.7752808988764045,0.4887640449438202,False
AAPL,test,news,F4,178,0.5126942023493748,0.03265688552661704,0.2557470164017991,0.06770836849416355,0.8146067415730337,0.4887640449438202,False
AAPL,test,news,F5,178,0.5126942023493748,0.03265688552661704,0.2557470164017991,0.06770836849416355,0.8146067415730337,0.4887640449438202,False
AAPL,test,news,F6,178,0.4939370973853733,-0.013658361895953085,0.2528519469342745,0.07068029625638671,0.7303370786516854,0.4887640449438202,False
AAPL,test,news,P0_strict,178,0.47619047619047616,-0.05151421987021448,0.256483608971017,0.09517295182024144,0.6910112359550562,0.4887640449438202,False
AAPL,test,news,P1_strict,178,0.4792219274977896,-0.054774202265355856,0.25532538710681485,0.10243165383440328,0.8258426966292135,0.4887640449438202,False
AAPL,test,news,P2_strict,178,0.4953265125678919,-0.010274588869018105,0.2525754059647654,0.06656008244369434,0.29213483146067415,0.4887640449438202,False
AAPL,test,news,P3_strict,178,0.4838322596943287,-0.03596413803295871,0.2538686126001709,0.07863283345819332,0.2808988764044944,0.4887640449438202,False
AAPL,validation,no_news,R0,2,,0.0,0.1901400214138582,0.4320229255242699,1.0,1.0,True
AAPL,validation,no_news,R1,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,R2,2,,0.0,0.16726100586025577,0.40738596090083,1.0,1.0,True
AAPL,validation,no_news,S2,2,,0.0,0.25752172334395934,0.4843454553707836,0.5,1.0,False
AAPL,validation,no_news,S3,2,,0.0,0.26566934863733904,0.5087516603666924,0.5,1.0,False
AAPL,validation,no_news,llm,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,F0,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,F1,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,F2,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,F3,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,F4,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,F5,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,F6,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
