variant,method,cells,mean_BA,mean_Brier,mean_ECE10
P0,platt,12,0.5230095118495012,0.24795017714548354,0.10039674436439473
P1,platt,12,0.49924732953796,0.24878418216198472,0.09547530788533799
P2,temperature,12,0.5034982374233212,0.24895388374915187,0.11228918685163164
P3,temperature,12,0.498081783147785,0.24889230362160952,0.10348640572964818
