config,seed,split,threshold,score,symbol,articles,positive_articles,event_precision,event_recall,event_f1,type_macro_f1,action_macro_f1,evidence_micro_f1,no_event_articles,no_event_false_positives,no_event_false_positive_rate,exact_type_action_set,predicted_positive_articles
A1,575,check,0.35,0.6479011164274323,AAPL,73,17,0.7777777777777778,0.8235294117647058,0.8,0.6833333333333333,0.4470813397129187,0.509090909090909,56,4,0.07142857142857142,0.821917808219178,18
A1,575,check,0.35,0.7388888888888889,AMZN,49,5,1.0,0.8,0.8888888888888888,0.8333333333333333,0.3333333333333333,0.75,44,0,0.0,0.9591836734693877,4
A2,573,development,0.35,0.6137640520399142,ALL,87,19,0.7619047619047619,0.8421052631578947,0.8,0.6305418719211823,0.428021978021978,0.41025641025641024,68,5,0.07352941176470588,0.8160919540229885,21
A2,573,development,0.35,0.6762337078126552,AAPL,57,19,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.7004048582995952,0.45854145854145856,0.4444444444444444,38,1,0.02631578947368421,0.7894736842105263,17
A2,573,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,0.13333333333333333,0.8666666666666667,4
A2,573,check,0.35,0.6624561734561735,ALL,122,22,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.6874074074074075,0.5544189144189144,0.525,100,5,0.05,0.8524590163934426,22
A2,573,check,0.35,0.614441088057387,AAPL,73,17,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.6541353383458646,0.44848484848484854,0.4838709677419355,56,5,0.08928571428571429,0.7808219178082192,18
A2,573,check,0.35,0.6988888888888889,AMZN,49,5,1.0,0.8,0.8888888888888888,0.75,0.3,0.6666666666666666,44,0,0.0,0.9591836734693877,4
A2,574,development,0.35,0.5152749747793997,ALL,87,19,0.6153846153846154,0.8421052631578947,0.7111111111111111,0.5079365079365079,0.36303030303030304,0.2831858407079646,68,10,0.14705882352941177,0.7011494252873564,26
A2,574,development,0.35,0.5614058137751189,AAPL,57,19,0.7272727272727273,0.8421052631578947,0.7804878048780488,0.5625,0.38166666666666665,0.3018867924528302,38,6,0.15789473684210525,0.6140350877192983,22
A2,574,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,0.13333333333333333,0.8666666666666667,4
A2,574,check,0.35,0.5787410502383279,ALL,122,22,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.5657894736842105,0.38343920145190563,0.40601503759398494,100,10,0.1,0.7868852459016393,30
A2,574,check,0.35,0.5563704855968303,AAPL,73,17,0.6666666666666666,0.9411764705882353,0.7804878048780488,0.5351213282247764,0.31407407407407406,0.37168141592920356,56,8,0.14285714285714285,0.6986301369863014,24
A2,574,check,0.35,0.5997979797979798,AMZN,49,5,0.6666666666666666,0.8,0.7272727272727273,0.6444444444444444,0.3,0.6,44,2,0.045454545454545456,0.9183673469387755,6
A2,575,development,0.35,0.5754342523860023,ALL,87,19,0.7272727272727273,0.8421052631578947,0.7804878048780488,0.5733695652173914,0.395,0.34782608695652173,68,6,0.08823529411764706,0.7701149425287356,22
A2,575,development,0.35,0.6162667227912237,AAPL,57,19,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.6175548589341693,0.4117521367521368,0.367816091954023,38,3,0.07894736842105263,0.7017543859649122,19
