method,config,phase,symbol,seeds,BA_mean,BA_std,MCC_mean,MCC_std,Brier_mean,Brier_std
D3,A0,development,AAPL,3,0.5793610547667343,0.0,0.19548759607310848,0.0,0.24997475789464904,3.3993498887762956e-17
D3,A0,development,AMZN,3,0.5565862708719851,0.0,0.11175966918302659,0.0,0.24813226696952742,0.0
D3,A0,later,AAPL,3,0.5174308450170519,0.0,0.04175026349264386,8.498374721940739e-18,0.2587278548675218,0.0
D3,A0,later,AMZN,3,0.5435544430538173,0.0,0.08716344852207177,0.0,0.2583062367774877,0.0
D3,A0,train_forward_oof,AAPL,3,0.503029705202638,0.0,0.006144151764253761,0.0,0.2592606648817109,0.0
D3,A0,train_forward_oof,AMZN,3,0.5326939483171423,0.0,0.06530258832057416,0.0,0.26055740634768043,0.0
D4,A1,development,AAPL,3,0.5793610547667343,0.0,0.19548759607310848,0.0,0.24997475789464904,3.3993498887762956e-17
D4,A1,development,AMZN,3,0.5565862708719851,0.0,0.11175966918302659,0.0,0.24813226696952742,0.0
D4,A1,later,AAPL,3,0.5174308450170519,0.0,0.04175026349264386,8.498374721940739e-18,0.2587278548675218,0.0
D4,A1,later,AMZN,3,0.5435544430538173,0.0,0.08716344852207177,0.0,0.2583062367774877,0.0
D4,A1,train_forward_oof,AAPL,3,0.503029705202638,0.0,0.006144151764253761,0.0,0.2592606648817109,0.0
D4,A1,train_forward_oof,AMZN,3,0.5326939483171423,0.0,0.06530258832057416,0.0,0.26055740634768043,0.0
