phase,symbol,method,n,BA,MCC,Brier,pred_up,up_rate,constant
later,AAPL,F6,178,0.4939370973853733,-0.013658361895953085,0.2528519469342745,0.7303370786516854,0.4887640449438202,False
later,AAPL,D0,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.7191011235955056,0.4887640449438202,False
later,AAPL,D1,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
later,AAPL,D2,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
later,AAPL,D3,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
later,AAPL,D4,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
later,AMZN,F0,179,0.4978723404255319,-0.004333585708320421,0.2676852632154346,0.5977653631284916,0.5251396648044693,False
later,AMZN,R1,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.6089385474860335,0.5251396648044693,False
later,AMZN,F1,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
later,AMZN,F2,179,0.5426783479349186,0.08692663097278021,0.26169057480580954,0.5977653631284916,0.5251396648044693,False
later,AMZN,F6,179,0.5115769712140176,0.024394527890402418,0.25453802398246317,0.659217877094972,0.5251396648044693,False
later,AMZN,D0,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.6089385474860335,0.5251396648044693,False
later,AMZN,D1,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
later,AMZN,D2,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
later,AMZN,D3,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
later,AMZN,D4,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
