phase,symbol,method,n,BA,MCC,Brier,pred_up,up_rate,constant
train_forward_oof,AAPL,F0,383,0.5001831914773689,0.0003612870332648107,0.26498507019905926,0.5352480417754569,0.5900783289817232,False
train_forward_oof,AAPL,R1,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.46475195822454307,0.5900783289817232,False
train_forward_oof,AAPL,F1,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
train_forward_oof,AAPL,F2,383,0.5001831914773689,0.0003612870332648107,0.26018906778411555,0.5352480417754569,0.5900783289817232,False
train_forward_oof,AAPL,F6,383,0.5533791781748492,0.11047960128035443,0.24517905373908971,0.6553524804177546,0.5900783289817232,False
train_forward_oof,AAPL,D0,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.46475195822454307,0.5900783289817232,False
train_forward_oof,AAPL,D1,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
train_forward_oof,AAPL,D2,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
train_forward_oof,AAPL,D3,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
train_forward_oof,AAPL,D4,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
train_forward_oof,AMZN,F0,382,0.5186724275531827,0.03940489707528027,0.257838956557549,0.662303664921466,0.5314136125654451,False
train_forward_oof,AMZN,R1,382,0.5217959655447615,0.04574289772518907,0.25617620131172997,0.6544502617801047,0.5314136125654451,False
train_forward_oof,AMZN,F1,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
train_forward_oof,AMZN,F2,382,0.4813963728431076,-0.038419557993187976,0.27485353855450334,0.6282722513089005,0.5314136125654451,False
train_forward_oof,AMZN,F6,382,0.551352615791067,0.1104144292727165,0.2520400743004611,0.6858638743455497,0.5314136125654451,False
train_forward_oof,AMZN,D0,382,0.5217959655447615,0.04574289772518907,0.25617620131172997,0.6544502617801047,0.5314136125654451,False
train_forward_oof,AMZN,D1,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
train_forward_oof,AMZN,D2,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
train_forward_oof,AMZN,D3,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
train_forward_oof,AMZN,D4,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
development,AAPL,F0,126,0.5045638945233265,0.013001274187308592,0.260102851399259,0.8571428571428571,0.4603174603174603,False
development,AAPL,R1,126,0.5621196754563895,0.14894830773554277,0.24411096100759516,0.7777777777777778,0.4603174603174603,False
development,AAPL,F1,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
development,AAPL,F2,126,0.5413286004056794,0.10665141370746663,0.28029547508334307,0.8174603174603174,0.4603174603174603,False
development,AAPL,F6,126,0.5035496957403651,0.015447815630555594,0.25729622065442287,0.9444444444444444,0.4603174603174603,False
development,AAPL,D0,126,0.5621196754563895,0.14894830773554277,0.24411096100759516,0.7777777777777778,0.4603174603174603,False
development,AAPL,D1,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
development,AAPL,D2,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
development,AAPL,D3,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
development,AAPL,D4,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
development,AMZN,F0,126,0.48330241187384043,-0.03289758474798845,0.27095076661399387,0.5714285714285714,0.3888888888888889,False
development,AMZN,R1,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.6190476190476191,0.3888888888888889,False
development,AMZN,F1,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
development,AMZN,F2,126,0.46289424860853434,-0.0728067416339465,0.297652395394459,0.5555555555555556,0.3888888888888889,False
development,AMZN,F6,126,0.5250463821892393,0.050964719143762556,0.2651589066198111,0.6428571428571429,0.3888888888888889,False
development,AMZN,D0,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.6190476190476191,0.3888888888888889,False
development,AMZN,D1,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
development,AMZN,D2,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
development,AMZN,D3,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
development,AMZN,D4,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
later,AAPL,F0,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.8426966292134831,0.4887640449438202,False
later,AAPL,R1,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.7191011235955056,0.4887640449438202,False
later,AAPL,F1,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
later,AAPL,F2,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.7359550561797753,0.4887640449438202,False
