phase,symbol,month,method,n,BA,MCC,Brier,pred_up,up_rate,constant
train_forward_oof,AAPL,2018-03,F0,62,0.46875,-0.0625978857295168,0.3136431600178698,0.46774193548387094,0.5161290322580645,False
train_forward_oof,AAPL,2018-03,R1,62,0.42291666666666666,-0.15817166261312793,0.31218205095693174,0.3870967741935484,0.5161290322580645,False
train_forward_oof,AAPL,2018-03,F1,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5483870967741935,0.5161290322580645,False
train_forward_oof,AAPL,2018-03,F2,62,0.4239583333333333,-0.15884586105957427,0.3218236568213799,0.3548387096774194,0.5161290322580645,False
train_forward_oof,AAPL,2018-03,F6,62,0.4666666666666667,-0.06677107811148458,0.27292457158525446,0.532258064516129,0.5161290322580645,False
train_forward_oof,AAPL,2018-03,D0,62,0.42291666666666666,-0.15817166261312793,0.31218205095693174,0.3870967741935484,0.5161290322580645,False
train_forward_oof,AAPL,2018-03,D1,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5483870967741935,0.5161290322580645,False
train_forward_oof,AAPL,2018-03,D2,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5483870967741935,0.5161290322580645,False
train_forward_oof,AAPL,2018-03,D3,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5483870967741935,0.5161290322580645,False
train_forward_oof,AAPL,2018-03,D4,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5483870967741935,0.5161290322580645,False
train_forward_oof,AAPL,2018-04,F0,63,0.4949596774193548,-0.010826670965770146,0.28935095076251915,0.6825396825396826,0.49206349206349204,False
train_forward_oof,AAPL,2018-04,R1,63,0.5564516129032258,0.11359236684941297,0.2427480052414925,0.5555555555555556,0.49206349206349204,False
train_forward_oof,AAPL,2018-04,F1,63,0.544858870967742,0.11815066113959706,0.2603196505174809,0.8253968253968254,0.49206349206349204,False
train_forward_oof,AAPL,2018-04,F2,63,0.5579637096774194,0.12157344839459235,0.24257106050333105,0.6507936507936508,0.49206349206349204,False
train_forward_oof,AAPL,2018-04,F6,63,0.5887096774193548,0.18016453109785477,0.24151779895364803,0.5873015873015873,0.49206349206349204,False
train_forward_oof,AAPL,2018-04,D0,63,0.5564516129032258,0.11359236684941297,0.2427480052414925,0.5555555555555556,0.49206349206349204,False
train_forward_oof,AAPL,2018-04,D1,63,0.544858870967742,0.11815066113959706,0.2603196505174809,0.8253968253968254,0.49206349206349204,False
train_forward_oof,AAPL,2018-04,D2,63,0.544858870967742,0.11815066113959706,0.2603196505174809,0.8253968253968254,0.49206349206349204,False
train_forward_oof,AAPL,2018-04,D3,63,0.544858870967742,0.11815066113959706,0.2603196505174809,0.8253968253968254,0.49206349206349204,False
train_forward_oof,AAPL,2018-04,D4,63,0.544858870967742,0.11815066113959706,0.2603196505174809,0.8253968253968254,0.49206349206349204,False
train_forward_oof,AAPL,2018-05,F0,66,0.49440820130475305,-0.01114729533239837,0.24884666842086006,0.5454545454545454,0.5606060606060606,False
train_forward_oof,AAPL,2018-05,R1,66,0.5671015843429636,0.13376754398878044,0.24930082061036912,0.45454545454545453,0.5606060606060606,False
