method,config,seed,phase,symbol,n,BA,MCC,Brier,pred_up,up_rate,constant
D3,A0,573,train_forward_oof,AAPL,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
D3,A0,573,train_forward_oof,AMZN,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
D3,A0,573,development,AAPL,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
D3,A0,573,development,AMZN,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
D3,A0,573,later,AAPL,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
D3,A0,573,later,AMZN,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
D3,A0,574,train_forward_oof,AAPL,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
D3,A0,574,train_forward_oof,AMZN,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
D3,A0,574,development,AAPL,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
D3,A0,574,development,AMZN,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
D3,A0,574,later,AAPL,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
D3,A0,574,later,AMZN,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
D3,A0,575,train_forward_oof,AAPL,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
D3,A0,575,train_forward_oof,AMZN,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
D3,A0,575,development,AAPL,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
D3,A0,575,development,AMZN,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
D3,A0,575,later,AAPL,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
D3,A0,575,later,AMZN,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
D4,A1,573,train_forward_oof,AAPL,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
D4,A1,573,train_forward_oof,AMZN,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
D4,A1,573,development,AAPL,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
D4,A1,573,development,AMZN,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
D4,A1,573,later,AAPL,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
D4,A1,573,later,AMZN,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
D4,A1,574,train_forward_oof,AAPL,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
D4,A1,574,train_forward_oof,AMZN,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
D4,A1,574,development,AAPL,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
D4,A1,574,development,AMZN,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
D4,A1,574,later,AAPL,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
D4,A1,574,later,AMZN,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
D4,A1,575,train_forward_oof,AAPL,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0.5900783289817232,False
D4,A1,575,train_forward_oof,AMZN,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0.5314136125654451,False
D4,A1,575,development,AAPL,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0.4603174603174603,False
D4,A1,575,development,AMZN,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0.3888888888888889,False
D4,A1,575,later,AAPL,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0.4887640449438202,False
D4,A1,575,later,AMZN,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0.5251396648044693,False
