symbol,month,method,C,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-03,MODERN,0.01,62,0.46354166666666663,-0.07543383751631462,0.2667667051399435,0.40208333333333335,0.59375,0.3333333333333333,0.6290322580645161,False
AAPL,2018-03,MODERN,0.1,62,0.48125,-0.0379777262656375,0.3292054627836098,0.3885416666666666,0.5625,0.4,0.5806451612903226,False
AAPL,2018-03,MODERN,1.0,62,0.434375,-0.13145556003198527,0.4163385707810267,0.36562500000000003,0.46875,0.4,0.532258064516129,False
AAPL,2018-04,MODERN,0.01,63,0.4637096774193548,-0.08032193289024989,0.26131892847779553,0.44254032258064513,0.6774193548387096,0.25,0.7142857142857143,False
AAPL,2018-04,MODERN,0.1,63,0.4475806451612903,-0.11420217218651821,0.31070976966864633,0.4243951612903226,0.6451612903225806,0.25,0.6984126984126984,False
AAPL,2018-04,MODERN,1.0,63,0.4309475806451613,-0.14483097765268826,0.3655876345483858,0.3981854838709677,0.5806451612903226,0.28125,0.6507936507936508,False
AAPL,2018-05,MODERN,0.01,66,0.4389561975768872,-0.12491353589038923,0.26266588383336037,0.3979496738117428,0.5675675675675675,0.3103448275862069,0.6212121212121212,False
AAPL,2018-05,MODERN,0.1,66,0.4217148182665424,-0.1615396563628238,0.2898561307854701,0.3932898415657036,0.5675675675675675,0.27586206896551724,0.6363636363636364,False
AAPL,2018-05,MODERN,1.0,66,0.41565703634669154,-0.16868592730661697,0.30584353111172635,0.4063373718546132,0.4864864864864865,0.3448275862068966,0.5606060606060606,False
AAPL,2018-06,MODERN,0.01,63,0.43981481481481477,-0.12099437854561525,0.2670875636812874,0.3703703703703704,0.3611111111111111,0.5185185185185185,0.4126984126984127,False
AAPL,2018-06,MODERN,0.1,63,0.46759259259259256,-0.06454972243679029,0.30366687664297526,0.3724279835390946,0.4166666666666667,0.5185185185185185,0.4444444444444444,False
AAPL,2018-06,MODERN,1.0,63,0.4351851851851852,-0.12909944487358058,0.3243425006221733,0.36728395061728397,0.3888888888888889,0.48148148148148145,0.4444444444444444,False
AAPL,2018-07,MODERN,0.01,60,0.4285714285714286,-0.14014549144083643,0.2733068401587472,0.3980463980463981,0.3333333333333333,0.5238095238095238,0.38333333333333336,False
AAPL,2018-07,MODERN,0.1,60,0.478021978021978,-0.04279604925109129,0.2987985482214287,0.42124542124542125,0.38461538461538464,0.5714285714285714,0.4,False
AAPL,2018-07,MODERN,1.0,60,0.478021978021978,-0.04279604925109129,0.3115075381173365,0.4297924297924298,0.38461538461538464,0.5714285714285714,0.4,False
AAPL,2018-08,MODERN,0.01,69,0.5032679738562091,0.006958047678723884,0.23533922658798045,0.5675381263616558,0.7843137254901961,0.2222222222222222,0.782608695652174,False
AAPL,2018-08,MODERN,0.1,69,0.5473856209150327,0.08929715913623683,0.23384221061047883,0.5893246187363834,0.7058823529411765,0.3888888888888889,0.6811594202898551,False
AAPL,2018-08,MODERN,1.0,69,0.5849673202614378,0.16011904396842466,0.23531934088188028,0.6045751633986929,0.7254901960784313,0.4444444444444444,0.6811594202898551,False
AMZN,2018-03,MODERN,0.01,62,0.39629629629629626,-0.22655704750137484,0.26702546215679884,0.3894179894179894,0.5925925925925926,0.2,0.7096774193548387,False
AMZN,2018-03,MODERN,0.1,62,0.3306878306878307,-0.3698890571451018,0.3357474943284172,0.29523809523809524,0.5185185185185185,0.14285714285714285,0.7096774193548387,False
AMZN,2018-03,MODERN,1.0,62,0.32380952380952377,-0.3501646979904799,0.4175099364696379,0.2814814814814815,0.3333333333333333,0.3142857142857143,0.532258064516129,False
AMZN,2018-04,MODERN,0.01,63,0.3464285714285714,-0.31700020573302884,0.283230978716082,0.336734693877551,0.4642857142857143,0.22857142857142856,0.6349206349206349,False
AMZN,2018-04,MODERN,0.1,63,0.30714285714285716,-0.3872983346207417,0.3756180946361908,0.30204081632653057,0.35714285714285715,0.2571428571428571,0.5714285714285714,False
AMZN,2018-04,MODERN,1.0,63,0.33571428571428574,-0.32757019284013394,0.44872377034841443,0.29591836734693877,0.35714285714285715,0.3142857142857143,0.5396825396825397,False
AMZN,2018-05,MODERN,0.01,65,0.554093567251462,0.10663931317935317,0.2564393597629713,0.53411306042885,0.5526315789473685,0.5555555555555556,0.5076923076923077,False
AMZN,2018-05,MODERN,0.1,65,0.5116959064327485,0.023278644263302447,0.2672552539889735,0.5360623781676414,0.5789473684210527,0.4444444444444444,0.5692307692307692,False
AMZN,2018-05,MODERN,1.0,65,0.5433723196881092,0.08632497247641324,0.2784220365275912,0.4922027290448343,0.6052631578947368,0.48148148148148145,0.5692307692307692,False
AMZN,2018-06,MODERN,0.01,63,0.529891304347826,0.05883110060307674,0.2540343269139984,0.4923913043478261,0.625,0.43478260869565216,0.6031746031746031,False
AMZN,2018-06,MODERN,0.1,63,0.5114130434782609,0.023312620206007845,0.2646063564783844,0.5043478260869565,0.675,0.34782608695652173,0.6666666666666666,False
AMZN,2018-06,MODERN,1.0,63,0.5206521739130435,0.041304347826086954,0.2697896965668039,0.5065217391304347,0.65,0.391304347826087,0.6349206349206349,False
AMZN,2018-07,MODERN,0.01,60,0.6,0.22613350843332272,0.24611887707684474,0.6211111111111112,0.8333333333333334,0.36666666666666664,0.7333333333333333,False
AMZN,2018-07,MODERN,0.1,60,0.5833333333333334,0.1849316803638273,0.2547529539874705,0.5966666666666667,0.8,0.36666666666666664,0.7166666666666667,False
AMZN,2018-07,MODERN,1.0,60,0.55,0.11095900821829636,0.26016002385248754,0.5622222222222222,0.7666666666666667,0.3333333333333333,0.7166666666666667,False
AMZN,2018-08,MODERN,0.01,69,0.5646551724137931,0.13871773800577353,0.24022987938711007,0.6112068965517241,0.75,0.3793103448275862,0.6956521739130435,False
AMZN,2018-08,MODERN,0.1,69,0.5521551724137931,0.11048316484363792,0.23439286879825164,0.6327586206896552,0.725,0.3793103448275862,0.6811594202898551,False
AMZN,2018-08,MODERN,1.0,69,0.6163793103448276,0.24122532033850386,0.23364081212602555,0.631896551724138,0.75,0.4827586206896552,0.6521739130434783,False
