phase,symbol,subset,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,news,F0,124,0.5110294117647058,0.03191644169383776,0.2607563864954067,0.6066176470588235,0.875,0.14705882352941177,0.8629032258064516,False
development,AAPL,news,R1,124,0.5682773109243697,0.16465962597158695,0.24450656238774832,0.6504726890756302,0.8571428571428571,0.27941176470588236,0.782258064516129,False
development,AAPL,news,F1,124,0.5861344537815126,0.21368191536505515,0.2504649366439482,0.5782563025210085,0.8928571428571429,0.27941176470588236,0.7983870967741935,False
development,AAPL,news,F2,124,0.5477941176470589,0.12452068109744242,0.28127469765826635,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,news,F6,124,0.5115546218487395,0.05359417295590909,0.2579044875127507,0.5871848739495799,0.9642857142857143,0.058823529411764705,0.9516129032258065,False
development,AAPL,news,A01,124,0.5835084033613445,0.2359497169050284,0.2576594201184585,0.6116071428571429,0.9464285714285714,0.22058823529411764,0.8548387096774194,False
development,AAPL,news,A1,124,0.5225840336134454,0.05783029026595866,0.2895821885731666,0.6121323529411764,0.8392857142857143,0.20588235294117646,0.8145161290322581,False
development,AAPL,news,E01,124,0.5451680672268908,0.13786406958755462,0.25934612315722694,0.6026785714285714,0.9285714285714286,0.16176470588235295,0.8790322580645161,False
development,AAPL,news,E1,124,0.5241596638655461,0.06411226104954046,0.29488484117001534,0.6042542016806722,0.8571428571428571,0.19117647058823528,0.8306451612903226,False
development,AAPL,news,MODERN,124,0.4585084033613445,-0.09437776967507654,0.27474548643286817,0.5317752100840336,0.6964285714285714,0.22058823529411764,0.7419354838709677,False
development,AAPL,news,HISTORY_LR,124,0.44432773109243695,-0.11295787786270985,0.3827807844629601,0.41228991596638653,0.5357142857142857,0.35294117647058826,0.5967741935483871,False
development,AAPL,news,CHRONOS_LR,124,0.5,0.0,0.2635065501740006,0.44826680672268904,1.0,0.0,1.0,True
development,AAPL,no_news,F0,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,R1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,F1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,F2,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,F6,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,A01,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,A1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,E01,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,E1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,MODERN,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,no_news,HISTORY_LR,2,,0.0,0.1467467133843656,,0.5,,0.5,False
development,AAPL,no_news,CHRONOS_LR,2,,0.0,0.193248148858302,,1.0,,1.0,True
development,AMZN,news,F0,73,0.48107890499194844,-0.037570916339223395,0.2760381016412171,0.4967793880837359,0.5925925925925926,0.3695652173913043,0.6164383561643836,False
development,AMZN,news,R1,73,0.5334138486312399,0.07031061003186734,0.2776554103630293,0.5652173913043478,0.7407407407407407,0.32608695652173914,0.6986301369863014,False
development,AMZN,news,F1,73,0.5994363929146538,0.20049361773565857,0.2366527460904941,0.5901771336553945,0.48148148148148145,0.717391304347826,0.3561643835616438,False
development,AMZN,news,F2,73,0.4440418679549114,-0.10981436312113849,0.32212584446777337,0.47665056360708535,0.5185185185185185,0.3695652173913043,0.589041095890411,False
development,AMZN,news,F6,73,0.5595813204508857,0.13110740970142798,0.266041192610162,0.5426731078904992,0.8148148148148148,0.30434782608695654,0.7397260273972602,False
development,AMZN,news,A01,73,0.4830917874396135,-0.03272779381486451,0.2615486723142681,0.5169082125603864,0.4444444444444444,0.5217391304347826,0.4657534246575342,False
development,AMZN,news,A1,73,0.465780998389694,-0.06658727008911494,0.3311016019355261,0.4782608695652174,0.5185185185185185,0.41304347826086957,0.5616438356164384,False
development,AMZN,news,E01,73,0.5124798711755233,0.02415622876811428,0.2611717954204046,0.5169082125603864,0.48148148148148145,0.5434782608695652,0.4657534246575342,False
development,AMZN,news,E1,73,0.45491143317230276,-0.08807481358232228,0.3306352383538224,0.47342995169082125,0.5185185185185185,0.391304347826087,0.5753424657534246,False
development,AMZN,news,MODERN,73,0.5897745571658615,0.1735074969582943,0.2382953677762852,0.6360708534621577,0.5925925925925926,0.5869565217391305,0.4794520547945205,False
development,AMZN,news,HISTORY_LR,73,0.5692431561996779,0.1374935661775835,0.2650958454814613,0.571658615136876,0.7037037037037037,0.43478260869565216,0.6164383561643836,False
development,AMZN,news,CHRONOS_LR,73,0.6107085346215781,0.2361351161488559,0.24279888320469883,0.6698872785829307,0.8518518518518519,0.3695652173913043,0.7123287671232876,False
development,AMZN,no_news,F0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,R1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,F1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,F2,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,F6,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,A01,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,A1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,E01,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,E1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,MODERN,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,no_news,HISTORY_LR,53,0.6026392961876833,0.22033069024024343,0.25801284203372615,0.624633431085044,0.8181818181818182,0.3870967741935484,0.6981132075471698,False
development,AMZN,no_news,CHRONOS_LR,53,0.39222873900293254,-0.23576955271612385,0.2720111525395253,0.435483870967742,0.5909090909090909,0.1935483870967742,0.7169811320754716,False
later,AAPL,news,F0,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.5129468232916509,0.8620689655172413,0.17582417582417584,0.8426966292134831,False
later,AAPL,news,R1,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,news,F1,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.5385878489326765,0.7931034482758621,0.24175824175824176,0.7752808988764045,False
later,AAPL,news,F2,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.5495768599216875,0.8045977011494253,0.32967032967032966,0.7359550561797753,False
later,AAPL,news,F6,178,0.4939370973853733,-0.013658361895953085,0.2528519469342745,0.5226727295692812,0.7241379310344828,0.26373626373626374,0.7303370786516854,False
later,AAPL,news,A01,178,0.5401667298219022,0.09799884947676993,0.2609498009783427,0.5401035745863333,0.8275862068965517,0.25274725274725274,0.7865168539325843,False
later,AAPL,news,A1,178,0.5563976253631426,0.1317255511532501,0.2930644789729937,0.535177466211949,0.8160919540229885,0.2967032967032967,0.7584269662921348,False
later,AAPL,news,E01,178,0.5459138562586838,0.11312111313687354,0.26157268193072974,0.5437665782493368,0.8390804597701149,0.25274725274725274,0.7921348314606742,False
