symbol,month,method,C,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-03,M_F2,0.01,62,0.45416666666666666,-0.09283444198266944,0.26504038131571134,0.4177083333333333,0.375,0.5333333333333333,0.41935483870967744,False
AAPL,2018-03,M_F2,0.1,62,0.4239583333333333,-0.15884586105957427,0.3218236568213798,0.41562499999999997,0.28125,0.5666666666666667,0.3548387096774194,False
AAPL,2018-03,M_F2,1.0,62,0.40729166666666666,-0.19181747254148576,0.4056306501749971,0.41458333333333336,0.28125,0.5333333333333333,0.3709677419354839,False
AAPL,2018-04,M_F2,0.01,63,0.5892137096774194,0.18368745876135223,0.2387368973690432,0.6743951612903225,0.7096774193548387,0.46875,0.6190476190476191,False
AAPL,2018-04,M_F2,0.1,63,0.5730846774193548,0.14936552287174718,0.24331301479104014,0.6179435483870968,0.6774193548387096,0.46875,0.6031746031746031,False
AAPL,2018-04,M_F2,1.0,63,0.5569556451612903,0.11567381826169085,0.2753634799437059,0.5584677419354839,0.6451612903225806,0.46875,0.5873015873015873,False
AAPL,2018-05,M_F2,0.01,66,0.5139794967381175,0.02884636720764711,0.2496898989074392,0.5088536812674744,0.6486486486486487,0.3793103448275862,0.6363636363636364,False
AAPL,2018-05,M_F2,0.1,66,0.5139794967381175,0.02884636720764711,0.2743571033190625,0.4790307548928239,0.6486486486486487,0.3793103448275862,0.6363636363636364,False
AAPL,2018-05,M_F2,1.0,66,0.5274930102516309,0.05727353706750529,0.29398731463585326,0.4725069897483691,0.6756756756756757,0.3793103448275862,0.6515151515151515,False
AAPL,2018-06,M_F2,0.01,63,0.3935185185185185,-0.21080522784319533,0.27061536068688824,0.3425925925925926,0.4166666666666667,0.37037037037037035,0.5079365079365079,False
AAPL,2018-06,M_F2,0.1,63,0.4027777777777778,-0.19364916731037085,0.31282184180321587,0.338477366255144,0.4722222222222222,0.3333333333333333,0.5555555555555556,False
