symbol,branch,BA,Brier,eligible
AAPL,price,0.513208027091236,0.271347268531929,False
AAPL,title,0.49768917808433394,0.26569628625220326,True
AAPL,body,0.5059823846038514,0.2586288020762186,True
AAPL,semantic,0.504934750906855,0.2626757615873974,True
AMZN,price,0.5416170587081842,0.2603248042165956,True
AMZN,title,0.5175937859530273,0.2607840026830465,True
AMZN,body,0.5009516875508222,0.2656225146067698,False
AMZN,semantic,0.4594438726403994,0.2761281130940705,False
