symbol,period,selected,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage
AAPL,test,body,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.5112359550561798,0.7931034482758621,0.24175824175824176,0.7752808988764045,1.0
AAPL,validation,body,126,0.5879817444219066,0.2199177715434481,0.24959625894706178,0.5634920634920635,0.896551724137931,0.27941176470588236,0.8015873015873016,1.0
AMZN,test,price,179,0.46201501877346685,-0.07915464295431036,0.2677183872747597,0.4692737430167598,0.6063829787234043,0.3176470588235294,0.6424581005586593,1.0
AMZN,validation,price,126,0.5009276437847867,0.0018552875695732839,0.26196966809754185,0.47619047619047616,0.6122448979591837,0.38961038961038963,0.6111111111111112,1.0
