encoder,symbol,seed,n,BA,Brier,MCC,accuracy,predicted_up,constant,changed,repaired,introduced
FINBERT,AAPL,573,803,0.6859570214892554,0.2144601156251277,0.3771670649435296,0.6924034869240349,0.5927770859277709,False,14,8,6
FINBERT,AAPL,574,803,0.6685063718140929,0.2184572075807961,0.3398481476681774,0.6737235367372354,0.5765877957658779,False,35,20,15
FINBERT,AAPL,575,803,0.6615036231884057,0.22263320459976826,0.3266703798633966,0.6674968866749689,0.5853051058530511,False,29,7,22
FINBERT,AMZN,573,804,0.6133524980174465,0.24257546010742004,0.22711906428720643,0.6144278606965174,0.5348258706467661,False,11,6,5
FINBERT,AMZN,574,804,0.5951377874702617,0.2503298468517615,0.19141746701700693,0.5970149253731343,0.5572139303482587,False,5,2,3
FINBERT,AMZN,575,804,0.6038238501189532,0.2433055742655306,0.20773008377625501,0.6044776119402985,0.5223880597014925,False,7,5,2
MODERN,AAPL,573,803,0.684495252373813,0.21448499061409174,0.3725424956922409,0.6899128268991283,0.5803237858032378,False,12,6,6
MODERN,AAPL,574,803,0.6685063718140929,0.2196949108859515,0.3398481476681774,0.6737235367372354,0.5765877957658779,False,17,11,6
MODERN,AAPL,575,803,0.6751936531734133,0.21524321040570782,0.35451727854442344,0.6811955168119551,0.5865504358655044,False,18,7,11
MODERN,AMZN,573,804,0.6093997819191118,0.24032976290853736,0.21940734819229088,0.6106965174129353,0.5410447761194029,False,18,8,10
MODERN,AMZN,574,804,0.5887812252180809,0.2445831904907673,0.17878786337220096,0.5907960199004975,0.5609452736318408,False,20,7,13
MODERN,AMZN,575,804,0.5988426843774782,0.24510312748227572,0.19776379977123598,0.599502487562189,0.5223880597014925,False,9,4,5
