symbol,seed,method,n,BA,Brier,MCC,accuracy,predicted_up,constant,changed,repaired,introduced
AAPL,573,TFIDF_LR,803,0.6611819090454774,0.22002030050347993,0.3399925041046849,0.6737235367372354,0.663760896637609,False,155,71,84
AAPL,573,TFIDF_SVM,803,0.710098075962019,0.20429517264993768,0.42553282679700855,0.7160647571606475,0.589041095890411,False,151,86,65
AAPL,573,TFIDF_RF,803,0.5961706646676661,0.23324792415380813,0.22159884740846514,0.6164383561643836,0.75093399750934,False,223,82,141
AAPL,573,PAPER,803,0.6673569465267366,0.2309296378962702,0.3373992397252048,0.6724782067247821,0.5753424657534246,False,100,43,57
AAPL,573,PRICE,803,0.5504091704147926,0.2478817037373582,0.10458042496729086,0.5616438356164384,0.638854296388543,False,291,94,197
AAPL,573,FULL,803,0.684495252373813,0.21863635061314832,0.3725424956922409,0.6899128268991283,0.5803237858032378,False,0,0,0
AAPL,573,FINBERT,803,0.5511431784107946,0.2454186636005233,0.10474746806017682,0.5603985056039851,0.6151930261519303,False,304,100,204
AAPL,573,MODERN,803,0.5372407546226886,0.24845263883362267,0.07762009272142642,0.5491905354919053,0.6463262764632628,False,283,85,198
AAPL,574,TFIDF_LR,803,0.637143928035982,0.22234202428507796,0.29326583539270207,0.651307596513076,0.6811955168119551,False,161,74,87
AAPL,574,TFIDF_SVM,803,0.6749843828085957,0.2068154946540719,0.3544135219750065,0.6811955168119551,0.589041095890411,False,143,77,66
AAPL,574,TFIDF_RF,803,0.5930347326336831,0.23460357492829095,0.2165878728720686,0.613947696139477,0.7584059775840598,False,227,92,135
AAPL,574,PAPER,803,0.6660013743128436,0.22619413103197022,0.3322976462568404,0.6687422166874222,0.5466998754669987,False,101,51,50
AAPL,574,PRICE,803,0.5640960769615192,0.24624599942631864,0.13583632011124291,0.5778331257783312,0.6699875466998755,False,300,114,186
AAPL,574,FULL,803,0.661922163918041,0.22517902151595204,0.3269617308725784,0.6674968866749689,0.5803237858032378,False,0,0,0
AAPL,574,FINBERT,803,0.5558470764617691,0.24660429957265378,0.11379273803120374,0.564134495641345,0.6039850560398505,False,295,106,189
AAPL,574,MODERN,803,0.5332708645677162,0.2508871634862227,0.06882243964157786,0.5442092154420921,0.6338729763387297,False,305,103,202
AAPL,575,TFIDF_LR,803,0.6497907296351824,0.22074576012372848,0.31625449080996626,0.6625155666251556,0.6650062266500623,False,155,68,87
AAPL,575,TFIDF_SVM,803,0.6997532483758121,0.2057969787650536,0.40302644579203484,0.7048567870485679,0.5778331257783312,False,143,79,64
AAPL,575,TFIDF_RF,803,0.6066216891554223,0.23165333033747657,0.24407067213210218,0.6264009962640099,0.7459526774595268,False,202,77,125
AAPL,575,PAPER,803,0.6841829085457272,0.224579295607094,0.3706395082122305,0.688667496886675,0.5691158156911582,False,104,53,51
AAPL,575,PRICE,803,0.5605478510744628,0.2462306541816014,0.12447752686370779,0.5703611457036114,0.6226650062266501,False,307,107,200
AAPL,575,FULL,803,0.6806284357821089,0.22461935835913516,0.364885474804984,0.6861768368617683,0.5815691158156912,False,0,0,0
AAPL,575,FINBERT,803,0.5434095452273864,0.24680051594619068,0.0890171618636544,0.5529265255292652,0.6176836861768369,False,309,101,208
AAPL,575,MODERN,803,0.539124187906047,0.25111967924475687,0.08048622068908408,0.5491905354919053,0.6239103362391034,False,302,96,206
AMZN,573,TFIDF_LR,804,0.5944810666137985,0.2364942270588645,0.21004830071238223,0.6019900497512438,0.7189054726368159,False,207,99,108
AMZN,573,TFIDF_SVM,804,0.6021262886597938,0.23396583741062527,0.22584485911096522,0.6094527363184079,0.7139303482587065,False,203,100,103
AMZN,573,TFIDF_RF,804,0.5773071966693101,0.24210482712496925,0.17051808316995792,0.5845771144278606,0.7114427860696517,False,235,106,129
AMZN,573,PAPER,804,0.5957697264076129,0.2482724454442373,0.2126277459751698,0.6032338308457711,0.7176616915422885,False,192,92,100
AMZN,573,PRICE,804,0.5302835051546392,0.2533903070634105,0.06167216968605176,0.5335820895522388,0.595771144278607,False,184,60,124
AMZN,573,FULL,804,0.6118903647898493,0.25076918341484516,0.2244023506825673,0.6131840796019901,0.5410447761194029,False,0,0,0
AMZN,573,FINBERT,804,0.533133425852498,0.25062075111792,0.06655695523964206,0.5348258706467661,0.5497512437810945,False,179,58,121
AMZN,573,MODERN,804,0.5610502577319587,0.24767836439585741,0.12232352751891847,0.5621890547263682,0.5348258706467661,False,163,61,102
AMZN,574,TFIDF_LR,804,0.6041831879460745,0.23686743681518058,0.23354598324969522,0.6119402985074627,0.7263681592039801,False,199,105,94
AMZN,574,TFIDF_SVM,804,0.6054718477398889,0.23663538051312075,0.23610145525773688,0.6131840796019901,0.7251243781094527,False,198,105,93
AMZN,574,TFIDF_RF,804,0.5846922085646312,0.24278554837807925,0.187290659066179,0.5920398009950248,0.7139303482587065,False,229,112,117
AMZN,574,PAPER,804,0.5866623711340206,0.24944357740267126,0.19482560627109496,0.5945273631840796,0.7288557213930348,False,181,89,92
AMZN,574,PRICE,804,0.5148195876288659,0.25753816199373764,0.03037496093298459,0.5186567164179104,0.6106965174129353,False,176,56,120
AMZN,574,FULL,804,0.5964264472640761,0.2549166263229975,0.19395492864664665,0.5982587064676617,0.5559701492537313,False,0,0,0
AMZN,574,FINBERT,804,0.5229108842188739,0.2561481391953099,0.04609675651399398,0.5248756218905473,0.5572139303482587,False,171,56,115
AMZN,574,MODERN,804,0.5399112807295796,0.24899727103010177,0.08055961826691718,0.5422885572139303,0.5696517412935324,False,151,53,98
AMZN,575,TFIDF_LR,804,0.6047036082474226,0.2361016211695337,0.23094691501621165,0.6119402985074627,0.7114427860696517,False,219,114,105
AMZN,575,TFIDF_SVM,804,0.5958564631245044,0.23532818188708807,0.2122571168460296,0.6032338308457711,0.7151741293532339,False,218,110,108
AMZN,575,TFIDF_RF,804,0.5918170103092784,0.241877305963094,0.20524741290481027,0.599502487562189,0.7238805970149254,False,247,123,124
AMZN,575,PAPER,804,0.5730942704203013,0.25170684775153385,0.16362341219048282,0.5808457711442786,0.7251243781094527,False,210,97,113
AMZN,575,PRICE,804,0.5351779341792229,0.25788565064979113,0.07171154121319115,0.5385572139303483,0.5982587064676617,False,178,64,114
AMZN,575,FULL,804,0.6000446074544012,0.25154159364598466,0.20019156440237984,0.6007462686567164,0.5236318407960199,False,0,0,0
AMZN,575,FINBERT,804,0.5335671094369547,0.2529186162784654,0.0672811064503307,0.5348258706467661,0.5373134328358209,False,179,63,116
AMZN,575,MODERN,804,0.5707523790642348,0.25122824006567673,0.14192745574867532,0.572139303482587,0.5422885572139303,False,147,62,85
